timestamp,event,detail
1773666202.098049,odom_update,v=7.852
1773666202.114973,imu_predict,yr=0.0072 ax=0.1112
1773666202.134913,imu_predict,yr=0.0034 ax=0.2014
1773666202.152076,odom_update,v=8.149
1773666202.154974,imu_predict,yr=0.0076 ax=0.3032
1773666202.175412,imu_predict,yr=0.0039 ax=0.2989
1773666202.198282,gnss_update,x=27.45 y=-1.27
1773666202.199109,imu_predict,yr=0.0055 ax=0.2836
1773666202.201638,odom_update,v=8.022
1773666202.232111,imu_predict,yr=0.0055 ax=0.2836
1773666202.243636,imu_predict,yr=0.0009 ax=0.2930
1773666202.262012,imu_predict,yr=-0.0029 ax=0.1791
1773666202.264536,odom_update,v=8.010
1773666202.276566,imu_predict,yr=-0.0066 ax=0.2666
1773666202.295085,imu_predict,yr=0.0027 ax=0.2198
1773666202.303129,odom_update,v=8.245
1773666202.315050,imu_predict,yr=-0.0025 ax=0.2542
1773666202.351975,imu_predict,yr=0.0041 ax=0.1881
1773666202.365233,imu_predict,yr=-0.0030 ax=0.1805
1773666202.367773,odom_update,v=8.012
1773666202.381308,imu_predict,yr=-0.0022 ax=0.2334
1773666202.393578,gnss_update,x=30.61 y=0.60
1773666202.396852,imu_predict,yr=0.0009 ax=0.2670
1773666202.412128,odom_update,v=8.196
1773666202.415083,imu_predict,yr=-0.0013 ax=0.1533
1773666202.443175,imu_predict,yr=0.0043 ax=0.1711
1773666202.461083,odom_update,v=8.008
1773666202.461859,imu_predict,yr=0.0032 ax=0.2542
1773666202.475679,imu_predict,yr=0.0041 ax=0.1454
1773666202.509301,imu_predict,yr=-0.0007 ax=0.0687
1773666202.511757,odom_update,v=7.869
1773666202.515003,imu_predict,yr=0.0041 ax=0.1927
1773666202.534803,imu_predict,yr=-0.0001 ax=0.1832
1773666202.548270,odom_update,v=8.055
1773666202.554933,imu_predict,yr=0.0007 ax=0.2932
1773666202.574868,imu_predict,yr=0.0095 ax=0.2485
1773666202.593179,gnss_update,x=30.07 y=4.64
1773666202.608043,odom_update,v=8.167
1773666202.608791,imu_predict,yr=0.0035 ax=0.3585
1773666202.614971,imu_predict,yr=0.0115 ax=0.2746
1773666202.638471,imu_predict,yr=0.0079 ax=0.1954
1773666202.642959,odom_update,v=8.130
1773666202.654968,imu_predict,yr=0.0022 ax=0.1519
1773666202.674873,imu_predict,yr=-0.0018 ax=0.1369
1773666202.693418,odom_update,v=7.933
1773666202.694870,imu_predict,yr=0.0062 ax=0.1599
1773666202.716877,imu_predict,yr=0.0021 ax=0.0983
1773666202.734911,imu_predict,yr=-0.0027 ax=0.1179
1773666202.742941,odom_update,v=8.103
1773666202.759068,imu_predict,yr=-0.0054 ax=0.1457
1773666202.774865,imu_predict,yr=0.0118 ax=0.2329
1773666202.793160,gnss_update,x=34.69 y=-2.14
1773666202.794403,odom_update,v=8.165
1773666202.794992,imu_predict,yr=0.0039 ax=0.1423
1773666202.814975,imu_predict,yr=0.0104 ax=0.0250
1773666202.835126,imu_predict,yr=-0.0025 ax=-0.0771
1773666202.856971,odom_update,v=8.051
1773666202.857802,imu_predict,yr=0.0028 ax=0.0293
1773666202.874935,imu_predict,yr=-0.0015 ax=0.1039
1773666202.895419,imu_predict,yr=0.0095 ax=0.0302
1773666202.897123,odom_update,v=8.069
1773666202.914956,imu_predict,yr=0.0008 ax=0.1461
1773666202.934937,imu_predict,yr=0.0040 ax=0.1408
1773666202.945336,odom_update,v=8.063
1773666202.954718,imu_predict,yr=-0.0004 ax=0.1544
1773666202.974888,imu_predict,yr=-0.0013 ax=0.2034
1773666202.993048,gnss_update,x=35.45 y=-2.51
1773666202.994257,odom_update,v=8.152
1773666202.997252,imu_predict,yr=0.0007 ax=0.2127
1773666203.014610,imu_predict,yr=0.0088 ax=0.1162
1773666203.034930,imu_predict,yr=0.0065 ax=0.1577
1773666203.043202,odom_update,v=8.117
1773666203.054859,imu_predict,yr=0.0119 ax=0.1225
1773666203.075676,imu_predict,yr=0.0009 ax=0.1527
1773666203.093095,odom_update,v=7.970
1773666203.094853,imu_predict,yr=0.0050 ax=0.0556
1773666203.115136,imu_predict,yr=-0.0017 ax=-0.0179
1773666203.134941,imu_predict,yr=0.0023 ax=0.1573
1773666203.158674,imu_predict,yr=0.0023 ax=0.1573
1773666203.164795,odom_update,v=8.179
1773666203.175315,imu_predict,yr=0.0007 ax=0.0985
1773666203.194910,imu_predict,yr=0.0042 ax=0.0596
1773666203.196862,gnss_update,x=39.03 y=-3.90
1773666203.198606,odom_update,v=8.290
1773666203.215055,imu_predict,yr=0.0006 ax=0.0448
1773666203.234975,imu_predict,yr=-0.0071 ax=0.0211
1773666203.248337,odom_update,v=8.124
1773666203.254897,imu_predict,yr=0.0107 ax=0.0189
1773666203.274910,imu_predict,yr=0.0097 ax=-0.0142
