timestamp,speed,acceleration,longitudinal_accel,lateral_accel,longitudinal_jerk,lateral_jerk,lead_detected,lead_distance,target_speed
1773666204.876561,8.1421,-0.0206,0.0413,0.0079,-0.0280,-0.0462,False,nan,8.0000
1773666204.976650,7.9821,0.1294,0.0523,-0.0009,0.1097,-0.0871,False,nan,8.0000
1773666205.076595,8.1349,0.0233,0.0629,-0.0024,0.1057,-0.0158,False,nan,8.0000
1773666205.176477,8.0301,0.0238,0.0615,-0.0075,-0.0139,-0.0503,False,nan,8.0000
1773666205.276726,8.1819,-0.1268,0.0457,-0.0135,-0.1577,-0.0603,False,nan,8.0000
1773666205.376544,8.1480,-0.1257,-0.0053,-0.0158,-0.5105,-0.0232,False,nan,8.0000
1773666205.476429,8.1454,-0.1252,-0.0295,-0.0050,-0.2424,0.1084,False,nan,8.0000
1773666205.576400,8.2804,-0.1255,-0.0310,0.0051,-0.0153,0.1015,False,nan,8.0000
1773666205.676353,7.9714,0.0246,-0.0331,0.0177,-0.0212,0.1256,False,nan,8.0000
1773666205.777051,8.1667,0.0235,0.0001,0.0099,0.3300,-0.0769,False,nan,8.0000
1773666205.877003,8.1922,-0.1165,-0.0041,0.0068,-0.0420,-0.0310,False,nan,8.0000
1773666205.976620,8.1426,-0.0153,-0.0073,0.0055,-0.0323,-0.0133,False,nan,8.0000
1773666206.076537,8.1287,-0.0155,0.0022,0.0089,0.0949,0.0333,False,nan,8.0000
1773666206.176289,8.2521,-0.1660,0.0057,0.0117,0.0356,0.0282,False,nan,8.0000
1773666206.276495,8.1922,-0.1463,-0.0157,0.0185,-0.2137,0.0681,False,nan,8.0000
1773666206.376900,8.0742,0.0038,-0.0159,0.0269,-0.0023,0.0840,False,nan,8.0000
1773666206.476907,7.9061,0.0046,-0.0162,0.0287,-0.0025,0.0175,False,nan,8.0000
1773666206.576781,8.0402,0.0845,-0.0017,0.0220,0.1447,-0.0669,False,nan,8.0000
1773666206.677093,8.0774,0.0840,0.0339,0.0227,0.3553,0.0068,False,nan,8.0000
1773666206.776304,7.9683,0.2345,0.0665,0.0249,0.3288,0.0224,False,nan,8.0000
1773666206.876859,8.0843,0.1067,0.0872,0.0203,0.2055,-0.0460,False,nan,8.0000
1773666206.977136,7.9531,0.1081,0.0593,0.0188,-0.2778,-0.0151,False,nan,8.0000
1773666207.076983,8.1748,-0.0107,0.0559,0.0274,-0.0345,0.0867,False,nan,8.0000
1773666207.177046,8.1436,-0.1192,0.0439,0.0248,-0.1200,-0.0264,False,nan,8.0000
1773666207.277248,8.1898,-0.1524,0.0052,0.0362,-0.3859,0.1142,False,nan,8.0000
1773666207.376961,7.9956,-0.0025,-0.0060,0.0270,-0.1123,-0.0925,False,nan,8.0000
1773666207.476385,8.0318,0.0855,0.0027,0.0343,0.0874,0.0730,False,nan,8.0000
1773666207.576640,8.1580,0.0821,0.0058,0.0249,0.0306,-0.0936,False,nan,8.0000
1773666207.676758,8.0229,0.0838,0.0187,0.0254,0.1292,0.0057,False,nan,8.0000
1773666207.776410,8.2334,-0.0659,0.0328,0.0179,0.1415,-0.0756,False,nan,8.0000
1773666207.876571,7.8647,0.0842,0.0355,0.0146,0.0268,-0.0329,False,nan,8.0000
1773666207.976374,8.1758,-0.0663,0.0323,0.0184,-0.0315,0.0376,False,nan,8.0000
1773666208.076710,8.0120,0.0835,0.0283,0.0192,-0.0398,0.0088,False,nan,8.0000
1773666208.176690,8.1297,-0.0669,0.0333,0.0137,0.0494,-0.0555,False,nan,8.0000
1773666208.276496,8.2319,-0.2163,0.0004,0.0147,-0.3291,0.0101,False,nan,8.0000
